Employee_ID,Hospital,Department,Job_Level,Job_Role,Location,Gender,Age,Education,Employment_Type,Work_Mode,Shift,Years_at_Hospital,Years_in_Current_Role,Total_Work_Experience,Monthly_Salary_INR,Annual_Salary_INR,Annual_Bonus_INR,Job_Satisfaction,Work_Life_Balance,Performance_Rating,Overtime_Hours_Month,Overtime,Night_Shifts_Month,Training_Hours_Year,Patients_Handled_Month,Projects_Count,Promotions_Last_5_Years,Manager_Rating,Distance_From_Home_KM,Salary_Growth_Potential,Attrition_Probability,Attrition
HOSP10001,Mangalore Medical Centre,Radiology,L3,Lab Technician,Udupi,Male,32,Diploma,Full-Time,On-Site,Day,15,7,8,164539,1974468,132672,1,1,3,34,Yes,13,18,346,9,3,5,17.4,Medium,0.8965,Yes
HOSP10002,Apollo Hospital,Administration,L5,Medical Officer,Chennai,Female,28,Master's,Full-Time,On-Site,Day,4,10,16,93955,1127460,56614,5,1,5,33,Yes,3,101,355,8,1,3,43.4,Medium,0.8367,No
HOSP10003,Fortis Hospital,General Medicine,L1,Resident Doctor,Bengaluru,Male,44,Bachelor's,Part-Time,On-Site,Night,11,8,5,165748,1988976,203474,4,1,5,62,Yes,6,41,173,4,1,2,12.3,Medium,0.9269,Yes
HOSP10004,Mangalore Medical Centre,Emergency,L4,Staff Nurse,Mangaluru,Female,36,Bachelor's,Full-Time,On-Site,Day,16,8,7,112791,1353492,3692,1,5,4,67,Yes,4,19,100,7,2,1,14.5,High,0.9277,Yes
HOSP10005,Manipal Hospital,Pediatrics,L5,Consultant Doctor,Mangaluru,Male,24,PhD,Full-Time,On-Site,Rotational,15,7,25,126718,1520616,126745,5,3,1,17,No,13,98,106,5,1,3,41.5,Medium,0.8303,Yes
HOSP10006,Fortis Hospital,Physiotherapy,L1,Medical Officer,Hubballi,Female,58,Diploma,Full-Time,On-Site,Rotational,19,9,12,40650,487800,189099,2,5,1,25,Yes,8,85,283,3,1,5,43.6,High,0.8722,Yes
HOSP10007,Fortis Hospital,Surgery,L4,Consultant Doctor,Mysuru,Female,47,MBBS,Full-Time,On-Site,Rotational,15,10,17,106290,1275480,248843,5,5,2,60,Yes,9,78,277,2,3,5,13.2,Low,0.8977,Yes
HOSP10008,Mangalore Medical Centre,Administration,L3,Senior Nurse,Hubballi,Male,29,Bachelor's,Full-Time,On-Site,Rotational,18,2,4,95701,1148412,20373,4,5,5,77,Yes,14,10,204,10,2,2,6.6,Medium,0.9636,Yes
HOSP10009,CityCare Hospital,Laboratory,L4,Ward Assistant,Hubballi,Female,36,MBBS,Full-Time,On-Site,Rotational,14,1,5,28683,344196,229708,5,3,5,73,Yes,6,53,199,5,1,2,34.3,Medium,0.9714,Yes
HOSP10010,Manipal Hospital,Emergency,L3,Receptionist,Mangaluru,Female,32,MBBS,Full-Time,On-Site,Rotational,11,4,20,98978,1187736,243085,1,5,5,47,Yes,11,97,205,0,2,4,41.9,High,0.9438,Yes
